creditoBase,cliente,status,error
01010214112420,,fallido,ECONNREFUSED
01010214118250,,fallido,ECONNREFUSED
01010214118260,,fallido,ECONNREFUSED
01010214118270,,fallido,ECONNREFUSED
01010214118280,,fallido,ECONNREFUSED
01010214118290,,fallido,ECONNREFUSED
01010214118300,,fallido,ECONNREFUSED
01010214118310,,fallido,ECONNREFUSED
01010214118330,,fallido,ECONNREFUSED
01010214118340,,fallido,ECONNREFUSED
01010214118350,,fallido,ECONNREFUSED
01010214118360,,fallido,ECONNREFUSED
01010214118370,,fallido,ECONNREFUSED
01010214118380,,fallido,ECONNREFUSED
01010214118390,,fallido,ECONNREFUSED
01010214118400,,fallido,ECONNREFUSED
01010214118420,,fallido,ECONNREFUSED
01010214118430,,fallido,ECONNREFUSED
01010214118440,,fallido,ECONNREFUSED
01010214118500,,fallido,ECONNREFUSED
01010214118510,,fallido,ECONNREFUSED
01010214118520,,fallido,ECONNREFUSED
01010214118530,,fallido,ECONNREFUSED
01010214118540,,fallido,ECONNREFUSED
01010214118550,,fallido,ECONNREFUSED
01010214118560,,fallido,ECONNREFUSED
01010214116750,,fallido,ECONNREFUSED
01010214115880,,fallido,ECONNREFUSED
01010214110700,,fallido,ECONNREFUSED
01010214109550,,fallido,ECONNREFUSED
01010214109920,,fallido,ECONNREFUSED
01010214117170,,fallido,ECONNREFUSED
01010214108280,,fallido,ECONNREFUSED
01010214108540,,fallido,ECONNREFUSED
01010214114640,,fallido,ECONNREFUSED
01010214113320,,fallido,ECONNREFUSED
01010214111980,,fallido,ECONNREFUSED
01010214110030,,fallido,ECONNREFUSED
01010214110180,,fallido,ECONNREFUSED
01010214114830,,fallido,ECONNREFUSED
01010214110670,,fallido,ECONNREFUSED
01010214118180,,fallido,ECONNREFUSED
01010214116540,,fallido,ECONNREFUSED
01010214117310,,fallido,ECONNREFUSED
01010214116830,,fallido,ECONNREFUSED
01010214114590,,fallido,ECONNREFUSED
01010214113510,,fallido,ECONNREFUSED
01010214112670,,fallido,ECONNREFUSED
01010214109580,,fallido,ECONNREFUSED
01010214117300,,fallido,ECONNREFUSED
01010214110120,,fallido,ECONNREFUSED
01010214112050,,fallido,ECONNREFUSED
01010214114670,,fallido,ECONNREFUSED
01010214115480,,fallido,ECONNREFUSED
01010214110140,,fallido,ECONNREFUSED
01010214115840,,fallido,ECONNREFUSED
01010214114960,,fallido,ECONNREFUSED
01010214111050,,fallido,ECONNREFUSED
01010214112540,,fallido,ECONNREFUSED
01010214114400,,fallido,ECONNREFUSED
01010214115320,,fallido,ECONNREFUSED
01010214116950,,fallido,ECONNREFUSED
01010214110850,,fallido,ECONNREFUSED
01010214110320,,fallido,ECONNREFUSED
01010214116680,,fallido,ECONNREFUSED
01010214117390,,fallido,ECONNREFUSED
01010202110610,,fallido,ECONNREFUSED
01010214113330,,fallido,ECONNREFUSED
01010214117260,,fallido,ECONNREFUSED
01010214114410,,fallido,ECONNREFUSED
01010214117270,,fallido,ECONNREFUSED
01010214117790,,fallido,ECONNREFUSED
01010214115360,,fallido,ECONNREFUSED
01010214113450,,fallido,ECONNREFUSED
01010214111550,,fallido,ECONNREFUSED
01010214110820,,fallido,ECONNREFUSED
01010214111790,,fallido,ECONNREFUSED
01010214117250,,fallido,ECONNREFUSED
01010214110750,,fallido,ECONNREFUSED
01010214116140,,fallido,ECONNREFUSED
01010214118070,,fallido,ECONNREFUSED
01010214116730,,fallido,ECONNREFUSED
01010214111210,,fallido,ECONNREFUSED
01010214116180,,fallido,ECONNREFUSED
01010214117280,,fallido,ECONNREFUSED
01010214111630,,fallido,ECONNREFUSED
01010214110950,,fallido,ECONNREFUSED
01010214117500,,fallido,ECONNREFUSED
01010214112220,,fallido,ECONNREFUSED
01010214118230,,fallido,ECONNREFUSED
01010214112130,,fallido,ECONNREFUSED
01010214113290,,fallido,ECONNREFUSED
01010214116610,,fallido,ECONNREFUSED
01010214110530,,fallido,ECONNREFUSED
01010214117430,,fallido,ECONNREFUSED
01010214115720,,fallido,ECONNREFUSED
01010214115810,,fallido,ECONNREFUSED
01010214118140,,fallido,ECONNREFUSED
01010214110060,,fallido,ECONNREFUSED
01010214109990,,fallido,ECONNREFUSED
01010214117760,,fallido,ECONNREFUSED
01010214112710,,fallido,ECONNREFUSED
01010214111800,,fallido,ECONNREFUSED
01010214112800,,fallido,ECONNREFUSED
01010214117860,,fallido,ECONNREFUSED
01010214111950,,fallido,ECONNREFUSED
01010214114970,,fallido,ECONNREFUSED
01010214110720,,fallido,ECONNREFUSED
01010214112830,,fallido,ECONNREFUSED
01010214111180,,fallido,ECONNREFUSED
01010214110990,,fallido,ECONNREFUSED
01010214115330,,fallido,ECONNREFUSED
01010214115410,,fallido,ECONNREFUSED
01010214116620,,fallido,ECONNREFUSED
01010214114420,,fallido,ECONNREFUSED
01010214114420:3,,fallido,ECONNREFUSED
01010214112720,,fallido,ECONNREFUSED
01010214114060,,fallido,ECONNREFUSED
01010214115340,,fallido,ECONNREFUSED
01010214113440,,fallido,ECONNREFUSED
01010214116600,,fallido,ECONNREFUSED
01010214115310,,fallido,ECONNREFUSED
01010214115830,,fallido,ECONNREFUSED
01010214111560,,fallido,ECONNREFUSED
01010214111750,,fallido,ECONNREFUSED
01010214114540,,fallido,ECONNREFUSED
01010214116940,,fallido,ECONNREFUSED
01010214114650,,fallido,ECONNREFUSED
01010214115370,,fallido,ECONNREFUSED
01010214109680,,fallido,ECONNREFUSED
01010407301690,,fallido,ECONNREFUSED
01010214113520,,fallido,ECONNREFUSED
01010214115290,,fallido,ECONNREFUSED
01010214116430,,fallido,ECONNREFUSED
01010214110680,,fallido,ECONNREFUSED
01010214116700,,fallido,ECONNREFUSED
01010214111070,,fallido,ECONNREFUSED
01010202112730,,fallido,ECONNREFUSED
01010411301780,,fallido,ECONNREFUSED
01010202101380,,fallido,ECONNREFUSED
01010214109570,,fallido,ECONNREFUSED
01010214110450,,fallido,ECONNREFUSED
01010214116650,,fallido,ECONNREFUSED
01010214118600,,fallido,ECONNREFUSED
01010214118610,,fallido,ECONNREFUSED
01010214118630,,fallido,ECONNREFUSED
01010214118640,,fallido,ECONNREFUSED
01010214118650,,fallido,ECONNREFUSED
01010214118660,,fallido,ECONNREFUSED
01010214118670,,fallido,ECONNREFUSED
01010214118680,,fallido,ECONNREFUSED
01010214118690,,fallido,ECONNREFUSED
01010214118700,,fallido,ECONNREFUSED
01010214112780,,fallido,ECONNREFUSED
01010214114820,,fallido,ECONNREFUSED
01010214111020,,fallido,ECONNREFUSED
01010214110330,,fallido,ECONNREFUSED
01010214106590,,fallido,ECONNREFUSED
01010214115420,,fallido,ECONNREFUSED
01010214108640,,fallido,ECONNREFUSED
01010214114550,,fallido,ECONNREFUSED
01010214117000,,fallido,ECONNREFUSED
01010214112180,,fallido,ECONNREFUSED
01010214118710,,fallido,ECONNREFUSED
01010214118720,,fallido,ECONNREFUSED
01010202118830,,fallido,ECONNREFUSED
01010214114800,,fallido,ECONNREFUSED
01010214103620,,fallido,ECONNREFUSED
01010214115710,,fallido,ECONNREFUSED
01010214110710,,fallido,ECONNREFUSED
01010214111940,,fallido,ECONNREFUSED
01010214110600,,fallido,ECONNREFUSED
01010214104200,,fallido,ECONNREFUSED
01010214110770,,fallido,ECONNREFUSED
01010214113790,,fallido,ECONNREFUSED
01010214117870,,fallido,ECONNREFUSED
01010214116560,,fallido,ECONNREFUSED
01010214117460,,fallido,ECONNREFUSED
01010214112120,,fallido,ECONNREFUSED
01010214111600,,fallido,ECONNREFUSED
01010214117230,,fallido,ECONNREFUSED
01010214113070,,fallido,ECONNREFUSED
01010214113080,,fallido,ECONNREFUSED
01010214114700,,fallido,ECONNREFUSED
01010214117290,,fallido,ECONNREFUSED
01010214105880,,fallido,value too long for type character varying(30)
01010214111490,,actualizado,
01010214117100,,actualizado,
01010214113660,,actualizado,
01010214111890,,actualizado,
01010214112360,,actualizado,
01010214113610,,actualizado,
01010214115550,,actualizado,
01010214117950,,actualizado,
01010214112480,,actualizado,
01010214111840,,actualizado,
01010202114470,,actualizado,
01010214115030,,actualizado,
01010214115990,,actualizado,
01010214113220,,actualizado,
01010214117120,,actualizado,
01010214113720,,actualizado,
01010214113700,,actualizado,
01010214116010,,actualizado,
01010214116260,,actualizado,
01010214116220,,actualizado,
01010214115150,,actualizado,
01010214115180,,actualizado,
01010214115590,,actualizado,
01010214115100,,actualizado,
01010214117130,,actualizado,
01010214111380,,actualizado,
01010214110840,,actualizado,
01010214115110,,actualizado,
01010214115560,,actualizado,
01010214113160,,actualizado,
01010101001460,,actualizado,
01010214115260,,actualizado,
01010214110480,,actualizado,
01010214116930,,actualizado,
01010214117370,,actualizado,
01010214112590,,actualizado,
01010214118020,,actualizado,
01010214117220,,actualizado,
01010214117090,,actualizado,
01010214110520,,actualizado,
01010214116110,,actualizado,
01010214114080,,actualizado,
01010202117980,,actualizado,
01010214111540,,actualizado,
01010214115980,,actualizado,
01010101001150,,actualizado,
01010214113630,,actualizado,
01010214116340,,actualizado,
01010214113120,,actualizado,
01010214116370,,actualizado,
01010214115170,,actualizado,
01010214117970,,actualizado,
01010214115210,,actualizado,
01010214113600,,actualizado,
01010214113680,,actualizado,
01010214116920,,actualizado,
01010202117140,,actualizado,
01010214110410,,actualizado,
01010214116160,,actualizado,
01010214110440,,actualizado,
01010214115620,,actualizado,
01010214116240,,actualizado,
01010214116090,,actualizado,
01010214116070,,actualizado,
01010214115970,,actualizado,
01010214116440,,actualizado,
01010214110020,,actualizado,
01010214116890,,actualizado,
01010214117110,,actualizado,
01010214116100,,actualizado,
01010214114000,,actualizado,
01010214116060,,actualizado,
01010214110260,,actualizado,
01010214116300,,actualizado,
01010214112640,,actualizado,
01010214118570,,actualizado,
01010214116380,,actualizado,
01010214112610,,actualizado,
01010214117930,,actualizado,
01010214110360,,actualizado,
01010214115660,,actualizado,
01010214116120,,actualizado,
01010214110380,,actualizado,
01010214118580,,actualizado,
01010214111350,,actualizado,
01010214112030,,actualizado,
01010214111970,,actualizado,
01010214110010,,actualizado,
01010214116880,,actualizado,
01010214113650,,actualizado,
01010214113730,,actualizado,
01010214113550,,actualizado,
01010214116280,,actualizado,
01010214115200,,actualizado,
01010214116270,,actualizado,
01010214116320,,actualizado,
01010214112510,,actualizado,
01010214113150,,actualizado,
01010214117080,,actualizado,
01010214116360,,actualizado,
01010214112350,,actualizado,
01010214117150,,actualizado,
01010214113690,,actualizado,
01010214116150,,actualizado,
01010214113760,,actualizado,
01010214112450,,actualizado,
01010214112470,,actualizado,
01010202112880,,actualizado,
01010214109440,,actualizado,
01010214108230,,actualizado,
01010214115540,,actualizado,
01010214112850,,actualizado,
01010214116330,,actualizado,
01010214115700,,actualizado,
01010214113590,,actualizado,
01010214111310,,actualizado,
01010214116720,,actualizado,
01010214109670,,actualizado,
01010202117440,,actualizado,
01010214111130,,actualizado,
01010214115640,,actualizado,
01010214111850,,actualizado,
01010214113490,,actualizado,
01010214117920,,actualizado,
01010214116000,,actualizado,
01010214109460,,actualizado,
01010214116420,,actualizado,
