commit,path,line,method,normalized_template,classification,disposition,event,outcome,rationale
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","38","console.log","🕐 Ejecutando procesarMoras a las 11:59 PM Guatemala...","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","41","console.log","✅ procesarMoras ejecutado correctamente","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","43","console.error","❌ Error al ejecutar procesarMoras:","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","50","console.log","📊 Ejecutando upsertEfectividadAsesores para {expr}/{expr}/{expr}...","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","53","console.log","✅ upsertEfectividadAsesores:","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","55","console.error","❌ Error al ejecutar upsertEfectividadAsesores:","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","64","console.log","🕛 Ejecutando expirarCompraCarteraVencidas a las 00:00 Guatemala...","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","67","console.log","✅ expirarCompraCartera: escaneados={expr}, vencidos={expr}, creditosProcesados={expr}","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","71","console.error","❌ Error al ejecutar expirarCompraCarteraVencidas:","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","80","console.log","🗓️ Ejecutando generarCierreMensual (diario, 02:00 Guatemala)...","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","83","console.log","✅ cierreMensual: periodo={expr}, filas={expr}","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","85","console.error","❌ Error al ejecutar generarCierreMensual:","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","93","console.log","🧾 Ejecutando verificarFacturasSat...","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","96","console.log","✅ verificarFacturasSat: revisadas={expr}, fallidas={expr}","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","98","console.error","❌ Error al ejecutar verificarFacturasSat:","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","105","console.log","📧 Ejecutando reportarFacturasFallidasSat...","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","108","console.log","✅ reportarFacturasFallidasSat: enviadas={expr}","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","110","console.error","❌ Error al ejecutar reportarFacturasFallidasSat:","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","122","console.log","📸 Regenerando snapshot diario {expr} (01:00 Guatemala)...","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","125","console.log","✅ snapshotDiario {expr}: regenerado","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","127","console.error","❌ Error regenerando snapshot {expr}:","unresolved","unresolved","","","pending_semantic_review"
"56717ddef8f0bbd8c8633172c8ca2c85c248dfd7","apps/cartera-back/schedule.ts","132","console.log","✅ Tareas programadas iniciadas (horario Guatemala)","unresolved","unresolved","","","pending_semantic_review"
